,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.23867328,0.23633642,0.23048294,0.24796323,0.2536106,0.26206395,0.23514338,0.16604732,0.19549677,0.16647401,0.21267477,0.22890882,0.21391033,0.19447179,0.18029027,0.20167649,0.18908061,0.16119508,0.19525976,0.18320476,0.17745495,0.17573105,0.14218885,0.17447197,0.21052189,0.18225604,0.19607392,0.18788902,0.17063199,0.18135028,0.17689927,0.16792397,0.1650819,0.15688662,0.14209695,0.15442196,0.14397316,0.14735495,0.1368769,0.14557986,0.13272405,0.17096065,0.21194386,0.11608002,0.1018489,0.094381765,0.087147295,0.081563555
0,0.2056695,0.20423208,0.20680766,0.2110114,0.21282311,0.21367057,0.19162901,0.14635585,0.14601338,0.20026071,0.24907863,0.2224673,0.21115546,0.22092254,0.18130022,0.16126266,0.17261846,0.20129314,0.25810584,0.20467281,0.1846823,0.21516494,0.19511068,0.20008016,0.20196454,0.19668253,0.22277148,0.17289716,0.1932788,0.19094147,0.18883474,0.14960812,0.14721042,0.12458415,0.13406835,0.129463,0.08380444,0.09614308,0.10105284,0.123172894,0.106774025,0.14376234,0.18445207,0.1333922,0.10921987,0.08716618,0.07889881,0.06353711
0,0.24294381,0.23967724,0.24554174,0.25009412,0.25091907,0.24871932,0.22117715,0.18523394,0.21903567,0.21812811,0.23426986,0.23941152,0.21555595,0.22376929,0.17200513,0.19389378,0.26942924,0.27190194,0.363227,0.24971353,0.21703239,0.3051107,0.2897309,0.21210323,0.21693324,0.18940781,0.20838551,0.21238843,0.16828676,0.2098153,0.19522485,0.15785508,0.173648,0.1643485,0.15242426,0.14336567,0.13102083,0.16212198,0.16281366,0.18020017,0.13905184,0.21009783,0.25788838,0.1961386,0.17243595,0.15148167,0.13047418,0.11900737
0,0.21879971,0.2198114,0.2222292,0.21968356,0.21847068,0.2160363,0.19448455,0.15505575,0.17219967,0.19846599,0.22261694,0.23008846,0.1954932,0.1820977,0.1680289,0.2152686,0.24825697,0.2376503,0.29121953,0.24938293,0.23420358,0.27152002,0.26126522,0.25918075,0.28034365,0.2678667,0.2922511,0.3149948,0.27309576,0.32321224,0.28481764,0.2655507,0.26011908,0.28637967,0.35868758,0.35196963,0.3572119,0.32763728,0.28416848,0.23968954,0.15734,0.16748308,0.20083971,0.13073473,0.10228316,0.0865186,0.073678195,0.06474455
0,0.17501377,0.17571823,0.17742103,0.18255106,0.18273675,0.1861598,0.16790645,0.15001924,0.19198568,0.24351393,0.2390819,0.22551937,0.17654215,0.18475206,0.112537205,0.13252279,0.13731745,0.12924422,0.1675493,0.0924264,0.11119818,0.15414558,0.10571506,0.121415965,0.1232774,0.132083,0.13319486,0.13667159,0.14385115,0.15285373,0.13363937,0.11303418,0.10684984,0.093909316,0.09527277,0.08223166,0.0691369,0.06498176,0.06187692,0.0621871,0.052512486,0.081908874,0.12971973,0.084757976,0.07167266,0.057605702,0.049805567,0.047683116
0,0.22287808,0.2194604,0.25661778,0.25556532,0.24410744,0.2317528,0.22688523,0.1942258,0.19240947,0.23716791,0.2459046,0.21409586,0.20770545,0.24823876,0.17226656,0.20981255,0.21356122,0.1647995,0.20065053,0.16063295,0.196165,0.19260366,0.13297966,0.13983637,0.12657374,0.12160534,0.13390397,0.13448887,0.14426242,0.16819333,0.14082968,0.14041233,0.15217833,0.13330702,0.13413693,0.11784295,0.10677361,0.11671769,0.11375244,0.11557002,0.11684338,0.14758952,0.1568505,0.10489241,0.089083694,0.08532603,0.07799569,0.0702357
0,0.24431665,0.24084075,0.2568233,0.2627077,0.26764643,0.27254203,0.24625845,0.18988298,0.19534981,0.23804896,0.24859662,0.22399636,0.22223608,0.20394114,0.17476402,0.1898071,0.14767377,0.16205926,0.18640566,0.1837344,0.19393693,0.18339394,0.18561871,0.14677832,0.13043371,0.12716848,0.12618487,0.11044233,0.12228697,0.13224815,0.13110173,0.1432536,0.15338372,0.15760349,0.16912858,0.16212776,0.15471709,0.16057493,0.14052974,0.1415417,0.1316205,0.14097555,0.13509211,0.10878754,0.10874261,0.105507545,0.108683206,0.10360799
0,0.21175794,0.20749839,0.20516415,0.20267661,0.2292449,0.23414035,0.22458804,0.17376333,0.2018601,0.19773753,0.22217003,0.21270719,0.22125883,0.19561966,0.18491496,0.2109407,0.2456656,0.26022124,0.30462644,0.26163062,0.2271421,0.20553465,0.15005009,0.16084561,0.17766817,0.17239837,0.21481733,0.18974026,0.20182161,0.22402854,0.19925678,0.17006294,0.15570219,0.1672812,0.16355805,0.15143685,0.15210354,0.18300545,0.15275179,0.15752207,0.12944548,0.1599018,0.23500292,0.11841478,0.10121099,0.0896725,0.08051214,0.068222776
0,0.00010885535,9.716571e-05,9.1938186e-05,8.669559e-05,0.00012582772,0.00011958987,6.933943e-05,2.4199666e-05,5.1371022e-05,6.553099e-05,7.392911e-05,0.00010088709,0.00018834026,0.0003887204,0.00012634294,0.00050117506,0.00068937865,0.00083829154,0.0002534428,7.227688e-05,4.013933e-05,1.9770729e-05,1.94127e-05,2.224252e-05,0.000103098064,4.0854542e-05,7.7248216e-05,8.8856665e-05,0.000114360126,0.00014287254,0.00038086047,0.00043905136,0.00023659729,0.00023361131,0.0011303723,0.0010716686,0.00045585987,0.0004759391,0.00018348446,0.0001029308,8.882089e-05,7.255071e-05,1.2896598e-05,5.647831e-06,3.6158515e-06,3.5888556e-06,3.6454192e-06,3.0055824e-06
0,0.20157538,0.20046926,0.20556866,0.21146154,0.20921157,0.21572304,0.19305521,0.17038839,0.17923199,0.22753572,0.19069004,0.19855797,0.15844253,0.12239394,0.084311806,0.063542165,0.11100866,0.14229633,0.17382948,0.13564202,0.111245014,0.1329524,0.13573302,0.12804256,0.16388069,0.17290686,0.20045614,0.15124582,0.16006349,0.1592268,0.15083443,0.16397765,0.206946,0.22870432,0.22051802,0.18769827,0.13119066,0.17170788,0.16432102,0.1943105,0.12565799,0.11592209,0.091733836,0.045328613,0.034397826,0.025997713,0.020053625,0.016367722
